	pval	padj
2543	0.0	0.0
2545	0.0	0.0
4665	0.0	0.0
2547	0.0	0.0
4664	0.0	0.0
2446	0.0	0.0
2444	0.0	0.0
4754	0.0	0.0
4839	0.0	0.0
4833	0.0	0.0
2353	0.0	0.0
2354	0.0	0.0
4824	0.0	0.0
2357	0.0	0.0
4823	0.0	0.0
2360	0.0	0.0
4822	0.0	0.0
4821	0.0	0.0
2364	0.0	0.0
4819	0.0	0.0
2366	0.0	0.0
4817	0.0	0.0
4816	0.0	0.0
4815	0.0	0.0
4814	0.0	0.0
2374	0.0	0.0
2375	0.0	0.0
2377	0.0	0.0
4813	0.0	0.0
4840	0.0	0.0
2379	0.0	0.0
4842	0.0	0.0
4845	0.0	0.0
2317	0.0	0.0
4877	0.0	0.0
4876	0.0	0.0
4875	0.0	0.0
4873	0.0	0.0
2322	0.0	0.0
4871	0.0	0.0
2325	0.0	0.0
4869	0.0	0.0
2328	0.0	0.0
2329	0.0	0.0
2331	0.0	0.0
4862	0.0	0.0
2334	0.0	0.0
2335	0.0	0.0
4860	0.0	0.0
4857	0.0	0.0
4854	0.0	0.0
4852	0.0	0.0
4851	0.0	0.0
4848	0.0	0.0
2346	0.0	0.0
5100	0.0	0.0
4811	0.0	0.0
2382	0.0	0.0
2413	0.0	0.0
4771	0.0	0.0
2416	0.0	0.0
2417	0.0	0.0
4770	0.0	0.0
4769	0.0	0.0
2421	0.0	0.0
4768	0.0	0.0
4766	0.0	0.0
2426	0.0	0.0
2428	0.0	0.0
2431	0.0	0.0
4761	0.0	0.0
4760	0.0	0.0
2434	0.0	0.0
2436	0.0	0.0
4759	0.0	0.0
4756	0.0	0.0
4755	0.0	0.0
2440	0.0	0.0
2441	0.0	0.0
4772	0.0	0.0
2381	0.0	0.0
4774	0.0	0.0
4778	0.0	0.0
4809	0.0	0.0
2384	0.0	0.0
4808	0.0	0.0
4807	0.0	0.0
4806	0.0	0.0
2388	0.0	0.0
2390	0.0	0.0
4802	0.0	0.0
2393	0.0	0.0
2394	0.0	0.0
4795	0.0	0.0
4794	0.0	0.0
4786	0.0	0.0
2399	0.0	0.0
2400	0.0	0.0
2401	0.0	0.0
2402	0.0	0.0
4785	0.0	0.0
2404	0.0	0.0
2406	0.0	0.0
4781	0.0	0.0
2410	0.0	0.0
4613	0.0	0.0
2076	0.0	0.0
2073	0.0	0.0
5391	0.0	0.0
1747	0.0	0.0
1748	0.0	0.0
5388	0.0	0.0
1750	0.0	0.0
1751	0.0	0.0
5386	0.0	0.0
1753	0.0	0.0
5382	0.0	0.0
1745	0.0	0.0
1755	0.0	0.0
1757	0.0	0.0
5378	0.0	0.0
5377	0.0	0.0
1760	0.0	0.0
5376	0.0	0.0
1762	0.0	0.0
5375	0.0	0.0
1764	0.0	0.0
1766	0.0	0.0
5379	0.0	0.0
1744	0.0	0.0
1743	0.0	0.0
5392	0.0	0.0
1713	0.0	0.0
5419	0.0	0.0
1716	0.0	0.0
5418	0.0	0.0
5417	0.0	0.0
5416	0.0	0.0
1721	0.0	0.0
5412	0.0	0.0
1725	0.0	0.0
1727	0.0	0.0
5411	0.0	0.0
5405	0.0	0.0
1730	0.0	0.0
5401	0.0	0.0
1732	0.0	0.0
5399	0.0	0.0
1736	0.0	0.0
1737	0.0	0.0
