"id" "baseMean" "baseMeanA" "baseMeanB" "foldChange" "log2FoldChange" "DESeq_pval" "DESeq_padj" "samples" "DGEClust_pval" "DGEClust_padj"
"42" "cluster_74" 412.286502453182 598.58308413619 225.989920770173 0.37754144204776 -1.40529307970728 4.81335810600016e-05 0.000124470570676324 "KRAUS_UNC" 0.421072365954256 0.0500358516313313
"45" "cluster_77" 438.006418429738 574.832457618345 301.180379241131 0.523944629864824 -0.932513738163251 0.000281085728607163 0.000641829161258995 "KRAUS_UNC" 0.0679915010623672 0.00600061380761665
"46" "cluster_79" 1392.50302028135 438.224229290507 2346.7818112722 5.35520780097368 2.42094255772392 7.45036773206888e-18 1.04068158420509e-16 "KRAUS_UNC" 0 0
"47" "cluster_80" 260.156096852366 360.591000588797 159.721193115934 0.442942815697371 -1.17480763726953 4.27752144628322e-05 0.000111849146563401 "KRAUS_UNC" 0.0526184226971629 0.00451800307472776
"49" "cluster_84" 231.792474428232 402.430762207424 61.154186649041 0.151962007858436 -2.71821741546413 0.000312215579582188 0.000704666451058289 "KRAUS_UNC" 0.254593175853018 0.0270314304621733
"53" "cluster_91" 549.053365458829 807.131095773237 290.975635144421 0.360506040057426 -1.47190466374888 0.00160877847272849 0.00320296898537557 "KRAUS_UNC" 0.09023872015998 0.00797819704445625
"56" "cluster_95" 559.912754535562 697.945363369548 421.880145701575 0.604460130897378 -0.726280909843931 0.0216501530903024 0.0349205637310525 "KRAUS_UNC" 0.432320959880015 0.0522899175472128
"57" "cluster_98" 579.373704627564 388.704938205866 770.042471049262 1.98104627793905 0.986262582485523 0.000329355554720836 0.000739320699287937 "KRAUS_UNC" 0 0
"61" "cluster_106" 6070.37068622974 3218.63729325901 8922.10407920047 2.77201289436576 1.47093396836772 6.86845249654284e-08 2.73569995695635e-07 "KRAUS_UNC" 0 0
"64" "cluster_112" 519.868540996489 392.389893943175 647.347188049804 1.6497549963495 0.722251787018545 0.00400044161066225 0.00741612209934379 "KRAUS_UNC" 0.0393700787401575 0.00325327618276485
"66" "cluster_116" 758.416292476121 518.171976574314 998.660608377929 1.92727637449669 0.946563471231769 0.000620599784855563 0.0013322132870135 "KRAUS_UNC" 0 0
"67" "cluster_117" 237.011602058911 385.181756750259 88.8414473675631 0.230648118221148 -2.11623457288957 1.21561080721549e-12 8.99987516490624e-12 "KRAUS_UNC" 0 0
"68" "cluster_119" 147.692868011465 89.9885958438837 205.397140179047 2.28247966592766 1.19060200763732 0.0569257883239341 0.0838667621648063 "KRAUS_UNC" 0.115735533058368 0.0104638872054127
"69" "cluster_125" 22.5948849558501 14.6709682370583 30.518801674642 2.08021728228903 1.05673422822643 0.0266340856309961 0.0422513175984147 "KRAUS_UNC" 0.197225346831646 0.0211023119356909
"72" "cluster_128" 3313.78062181411 828.312988654229 5799.24825497399 7.00127649138535 2.80761798204326 2.54603015750043e-16 2.93734119648572e-15 "KRAUS_UNC" 0 0
"73" "cluster_129" 188.887738584523 314.334677461111 63.4407997079345 0.201825647174367 -2.30881857703278 1.70335014013831e-06 5.55323467131979e-06 "KRAUS_UNC" 0.510936132983377 0.0679462955904972
"74" "cluster_130" 772.486998863546 1234.28306328407 310.69093444302 0.251717732896991 -1.99012124048067 3.1364959532602e-12 2.19055870453342e-11 "KRAUS_UNC" 0 0
"77" "cluster_134" 84.0211822828153 36.6696729891462 131.372691576484 3.58259784905551 1.84100610837279 4.16004954309791e-10 2.24317022945556e-09 "KRAUS_UNC" 0 0
"79" "cluster_143" 3071.32333864603 1471.02844247507 4671.61823481699 3.17574976793568 1.66709724032071 5.18037280056501e-06 1.56682304333921e-05 "KRAUS_UNC" 0.00174978127734033 7.25200593819044e-05
"81" "cluster_149" 440.665633066734 609.864321061176 271.466945072292 0.445126785905321 -1.16771177601128 1.60902678816983e-05 4.52925569458384e-05 "KRAUS_UNC" 0 0
"82" "cluster_150" 1780.05854146289 314.64104788042 3245.47603504536 10.3148526135052 3.36665130193006 4.82600676312842e-05 0.000124751742155041 "KRAUS_UNC" 0 0
"83" "cluster_153" 1031.46942462336 839.356712408318 1223.58213683841 1.45776178202906 0.54375498306373 0.0484756682089007 0.0725740560059101 "KRAUS_UNC" 0.125109361329834 0.011451073099593
"84" "cluster_154" 68.8763654990442 130.477742814379 7.27498818370957 0.0557565453447426 -4.16471501465893 3.47685022319535e-27 1.21534077951097e-25 "KRAUS_UNC" 0.494438195225597 0.0638825032525821
