"id" "baseMean" "baseMeanA" "baseMeanB" "foldChange" "log2FoldChange" "DESeq_pval" "DESeq_padj" "samples" "DGEClust_pval" "DGEClust_padj"
"33" "cluster_58" 449.572169822092 701.90641226227 113.126513235188 0.161170365819251 -2.63334159305525 1.66045743461771e-05 5.71881075275686e-05 "KRAUS_MOEL" 0.411448568928884 0.0544888287605045
"34" "cluster_61" 1556.81017787377 387.727567251014 3115.58699203744 8.03550548166314 3.00638878095711 8.39769061130768e-12 8.01659976019671e-11 "KRAUS_MOEL" 0 0
"35" "cluster_62" 102.969620697783 160.255489925567 26.5884617274049 0.165912953994614 -2.59150156281787 3.11000571519116e-11 2.70097653336627e-10 "KRAUS_MOEL" 0.0216222972128484 0.00211840447204466
"38" "cluster_67" 1375.00993606478 671.144451535425 2313.49724877059 3.44709286276276 1.78538016462997 7.31055753187084e-10 5.11200948378238e-09 "KRAUS_MOEL" 0 0
"40" "cluster_72" 80.0221584945795 29.0594892919611 147.972384098071 5.09205040086526 2.34824669903474 4.80860685327588e-08 2.58890971272922e-07 "KRAUS_MOEL" 0.0657417822772153 0.00686211870925306
"41" "cluster_73" 392.453073871582 512.822291214702 231.960784080754 0.452321960364316 -1.14457805394878 0.000147520467631904 0.000421161643877188 "KRAUS_MOEL" 0 0
"43" "cluster_75" 1911.89522021241 1459.35030142086 2515.28844526782 1.72356729074498 0.785397624860667 0.00629640184885393 0.0125511104537451 "KRAUS_MOEL" 0.00624921884764404 0.000485282476945283
"44" "cluster_76" 3011.19469361266 2428.12989979562 3788.61441870204 1.56030137391782 0.641824714128444 0.0220983512462568 0.0384504744567113 "KRAUS_MOEL" 0.020997375328084 0.00204652855786408
"45" "cluster_77" 786.976075082203 574.832457618345 1069.83423170068 1.86112356308694 0.896173841498635 0.00172131431843054 0.00390884111224724 "KRAUS_MOEL" 0 0
"46" "cluster_79" 325.419240795821 438.224229290507 175.012589469573 0.399367670183189 -1.32421054716865 8.79860339209889e-06 3.20305634367289e-05 "KRAUS_MOEL" 0.00599925009373828 0.000463180291439948
"47" "cluster_80" 259.657226187188 360.591000588797 125.078860318376 0.346871830173629 -1.52752541228841 1.49335852904758e-06 6.25288261328264e-06 "KRAUS_MOEL" 0.0407449068866392 0.00414082278237481
"50" "cluster_86" 262.349690373543 47.4803395570155 548.842158128912 11.5593562145833 3.53098914567652 4.24800302611036e-08 2.3083116211486e-07 "KRAUS_MOEL" 0 0
"52" "cluster_90" 521.689481569974 346.840384439143 754.821611077749 2.17627947881078 1.12186384004574 7.18373962630823e-05 0.000218497639023557 "KRAUS_MOEL" 0.00199975003124609 0.00012189231554389
"54" "cluster_92" 406.065383544036 220.869481687759 652.993252685739 2.9564666322207 1.56387399440295 0.00432782856103447 0.00895650175841772 "KRAUS_MOEL" 0.00949881264841895 0.000809984991096211
"55" "cluster_94" 444.197103173046 274.16825686782 670.902231580013 2.4470456180617 1.29104099652884 0.00257067151985569 0.0056039522489935 "KRAUS_MOEL" 0.023122109736283 0.00223404821947104
"57" "cluster_98" 499.064889828514 388.704938205866 646.211491992045 1.66247307012549 0.733330971043253 0.01578886492425 0.0284953930022554 "KRAUS_MOEL" 0 0
"58" "cluster_101" 333.840136534914 194.632121992902 519.450822590929 2.66888536831487 1.41623734140524 0.000294538455437913 0.000790763159307136 "KRAUS_MOEL" 0.000124984376952881 1.24548457352148e-07
"61" "cluster_106" 4250.5316600362 3218.63729325901 5626.39081573912 1.74806612336308 0.805759758090075 0.00320911000662481 0.00683663035371313 "KRAUS_MOEL" 0.177602799650044 0.020592893989911
"64" "cluster_112" 556.393294302501 392.389893943175 775.064494781604 1.97524071528164 0.982028479913256 0.000417565253935555 0.00109063697923837 "KRAUS_MOEL" 0.0191226096737908 0.00183628237357455
"67" "cluster_117" 236.475192791981 385.181756750259 38.1997741809448 0.0991733733789279 -3.33390335999453 9.50334150696701e-21 2.7591106375186e-19 "KRAUS_MOEL" 0 0
"68" "cluster_119" 211.419381302095 89.9885958438837 373.327095246376 4.1486045175551 2.05262613304551 0.00334208773441771 0.00708982742210713 "KRAUS_MOEL" 0.0117485314335708 0.00106684071357406
"72" "cluster_128" 2699.07120309923 828.312988654229 5193.41548902589 6.26987088233845 2.64843573340562 3.18259865695205e-13 3.7330447685718e-12 "KRAUS_MOEL" 0 0
"73" "cluster_129" 191.345131119893 314.334677461111 27.3590693316032 0.087038024415833 -3.52221037902548 6.96980353430223e-09 4.22882898376576e-08 "KRAUS_MOEL" 0.348956380452443 0.0428569171053946
"74" "cluster_130" 993.818412561634 1234.28306328407 673.19887826505 0.545416929301339 -0.874568613849374 0.00626243127572942 0.0124928569401689 "KRAUS_MOEL" 0.121234845644294 0.0141097071154001
"77" "cluster_134" 124.580036172701 36.6696729891462 241.793853750775 6.59383719681228 2.72111826701268 7.61354775550008e-18 1.68746960662913e-16 "KRAUS_MOEL" 0 0
"79" "cluster_143" 4619.42492470967 1471.02844247507 8817.28690102247 5.99396085515994 2.58350966205452 3.03413193209838e-11 2.64161226207227e-10 "KRAUS_MOEL" 0 0
"80" "cluster_144" 714.592607666931 101.324889076101 1532.28289912137 15.1224729984213 3.91862217960643 0.000145159044046313 0.000415602055203502 "KRAUS_MOEL" 0.00599925009373828 0.000460999877969172
"81" "cluster_149" 501.778085672352 609.864321061176 357.663105153921 0.586463403091987 -0.769887011910719 0.0141577881212146 0.0259043279530349 "KRAUS_MOEL" 0.0459942507186602 0.00475103807547837
"82" "cluster_150" 1077.71601948118 314.64104788042 2095.14931494886 6.65885563585184 2.7352742628314 0.00159692709161565 0.00367026815364461 "KRAUS_MOEL" 0.0169978752655918 0.00164788235269474
"83" "cluster_153" 1386.8988327467 839.356712408318 2116.95499319788 2.52211599895809 1.33463463065148 1.17306584845915e-06 5.00802595224897e-06 "KRAUS_MOEL" 0 0
"84" "cluster_154" 77.7106213934789 130.477742814379 7.35445949894564 0.0563656248208424 -4.14904060196994 2.90852044631151e-22 1.02689772139622e-20 "KRAUS_MOEL" 0.581427321584802 0.0947269312802728
"85" "cluster_155" 142.435258929825 88.5935142099398 214.224251889672 2.41805795604886 1.27384882353751 0.0248835817812982 0.0428299964711909 "KRAUS_MOEL" 0.00249968753905762 0.000159574935862228
"86" "cluster_156" 213.343660600552 171.892954633653 268.611268556417 1.56266595759492 0.644009414405136 0.0578295488392202 0.0908159164381674 "KRAUS_MOEL" 0.384201974753156 0.049279710351221
"87" "cluster_158" 883.922744426517 1095.80828583835 601.408689210735 0.548826557512863 -0.865577800211401 0.00330286716268786 0.00701721943908221 "KRAUS_MOEL" 0 0
"91" "cluster_165" 875.783939167596 604.02781185686 1238.12544224858 2.04978217549688 1.03547060679058 0.0257670852381097 0.0441775355985746 "KRAUS_MOEL" 0.0117485314335708 0.00106293801327447
"92" "cluster_169" 299.374571306785 107.876317696467 554.705576120542 5.14205145267681 2.36234404621791 7.66101547424221e-15 1.1213811400422e-13 "KRAUS_MOEL" 0 0
"94" "cluster_175" 2808.95206288684 2267.39738917039 3531.02496117545 1.55730309033628 0.639049756472671 0.0174051107836236 0.0310534048668713 "KRAUS_MOEL" 0.199725034370704 0.0234534473657273
"95" "cluster_176" 304.151745310735 465.78267704738 88.6438363285416 0.190311578117201 -2.39356476036869 4.37193208853815e-05 0.000138168474445195 "KRAUS_MOEL" 0.559180102487189 0.0873652561212275
"98" "cluster_179" 2481.03535346732 2077.76236071149 3018.73267714176 1.45287677466063 0.538912346381046 0.0252029487112408 0.0432948453900191 "KRAUS_MOEL" 0.289463817022872 0.0351519539681363
"99" "cluster_185" 2068.59564929618 1148.87360261439 3294.89171153857 2.8679322982447 1.52001096750583 9.60326968342139e-05 0.000284574326426481 "KRAUS_MOEL" 0.00387451568553931 0.000279370816352873
"100" "cluster_186" 612.081749729128 459.270440545182 815.83016197439 1.77636113703714 0.828924913696935 0.00134981187868182 0.00314866476082949 "KRAUS_MOEL" 0.0276215473065867 0.00264678166473797
