	Posteriors	FDR
2715	0.0	0.0
2713	0.0	0.0
5724	0.0	0.0
2672	0.0	0.0
2683	0.0	0.0
2685	0.0	0.0
2688	0.0	0.0
2690	0.0	0.0
2691	0.0	0.0
2693	0.0	0.0
2694	0.0	0.0
5719	0.0	0.0
2697	0.0	0.0
2698	0.0	0.0
2699	0.0	0.0
2701	0.0	0.0
5716	0.0	0.0
2705	0.0	0.0
5715	0.0	0.0
2708	0.0	0.0
2711	0.0	0.0
5682	0.0	0.0
2667	0.0	0.0
2771	0.0	0.0
2775	0.0	0.0
2823	0.0	0.0
2826	0.0	0.0
5658	0.0	0.0
5655	0.0	0.0
2830	0.0	0.0
5654	0.0	0.0
2835	0.0	0.0
2836	0.0	0.0
2821	0.0	0.0
5650	0.0	0.0
5648	0.0	0.0
2850	0.0	0.0
2852	0.0	0.0
2856	0.0	0.0
2861	0.0	0.0
2862	0.0	0.0
2863	0.0	0.0
2864	0.0	0.0
5649	0.0	0.0
5662	0.0	0.0
2816	0.0	0.0
2814	0.0	0.0
2776	0.0	0.0
2777	0.0	0.0
5678	0.0	0.0
5676	0.0	0.0
2781	0.0	0.0
5675	0.0	0.0
5673	0.0	0.0
2788	0.0	0.0
5672	0.0	0.0
5671	0.0	0.0
2794	0.0	0.0
2795	0.0	0.0
2796	0.0	0.0
2801	0.0	0.0
5666	0.0	0.0
2808	0.0	0.0
2809	0.0	0.0
2810	0.0	0.0
2813	0.0	0.0
2774	0.0	0.0
3069	0.0	0.0
5939	0.0	0.0
2226	0.0	0.0
1680	0.0	0.0
1684	0.0	0.0
6212	0.0	0.0
1686	0.0	0.0
6211	0.0	0.0
6206	0.0	0.0
1695	0.0	0.0
6205	0.0	0.0
1679	0.0	0.0
1699	0.0	0.0
1703	0.0	0.0
1704	0.0	0.0
6199	0.0	0.0
1711	0.0	0.0
1713	0.0	0.0
1718	0.0	0.0
1722	0.0	0.0
6191	0.0	0.0
1702	0.0	0.0
6183	0.0	0.0
1674	0.0	0.0
1671	0.0	0.0
1627	0.0	0.0
1628	0.0	0.0
6235	0.0	0.0
1632	0.0	0.0
6231	0.0	0.0
6229	0.0	0.0
1645	0.0	0.0
1646	0.0	0.0
6218	0.0	0.0
6224	0.0	0.0
1652	0.0	0.0
1653	0.0	0.0
1654	0.0	0.0
1655	0.0	0.0
1657	0.0	0.0
1658	0.0	0.0
1660	0.0	0.0
1663	0.0	0.0
1648	0.0	0.0
1729	0.0	0.0
6181	0.0	0.0
6178	0.0	0.0
6145	0.0	0.0
6144	0.0	0.0
1787	0.0	0.0
1790	0.0	0.0
6141	0.0	0.0
1799	0.0	0.0
1802	0.0	0.0
6134	0.0	0.0
1780	0.0	0.0
1805	0.0	0.0
1811	0.0	0.0
1813	0.0	0.0
6125	0.0	0.0
1819	0.0	0.0
6124	0.0	0.0
1822	0.0	0.0
1825	0.0	0.0
1826	0.0	0.0
6131	0.0	0.0
1779	0.0	0.0
6146	0.0	0.0
6147	0.0	0.0
6174	0.0	0.0
6173	0.0	0.0
1738	0.0	0.0
1739	0.0	0.0
1741	0.0	0.0
6169	0.0	0.0
1744	0.0	0.0
6168	0.0	0.0
6166	0.0	0.0
1749	0.0	0.0
1753	0.0	0.0
1754	0.0	0.0
1755	0.0	0.0
1756	0.0	0.0
1759	0.0	0.0
6158	0.0	0.0
1765	0.0	0.0
6150	0.0	0.0
1774	0.0	0.0
6237	0.0	0.0
6243	0.0	0.0
1616	0.0	0.0
6249	0.0	0.0
1484	0.0	0.0
6314	0.0	0.0
6307	0.0	0.0
1492	0.0	0.0
1495	0.0	0.0
6306	0.0	0.0
6303	0.0	0.0
1501	0.0	0.0
1483	0.0	0.0
1506	0.0	0.0
1510	0.0	0.0
1511	0.0	0.0
1512	0.0	0.0
1513	0.0	0.0
1515	0.0	0.0
1516	0.0	0.0
6302	0.0	0.0
6300	0.0	0.0
