	Posteriors	FDR
5632	0.0	0.0
3636	0.0	0.0
3633	0.0	0.0
3632	0.0	0.0
5630	0.0	0.0
4280	0.0	0.0
3624	0.0	0.0
2141	0.0	0.0
2144	0.0	0.0
2146	0.0	0.0
2147	0.0	0.0
5625	0.0	0.0
2152	0.0	0.0
5621	0.0	0.0
3629	0.0	0.0
3626	0.0	0.0
2142	0.0	0.0
4765	0.0	0.0
2191	0.0	0.0
2192	0.0	0.0
2226	0.0	0.0
4770	0.0	0.0
5570	0.0	0.0
2231	0.0	0.0
4771	0.0	0.0
3602	0.0	0.0
5567	0.0	0.0
4773	0.0	0.0
2225	0.0	0.0
2239	0.0	0.0
5559	0.0	0.0
3597	0.0	0.0
2245	0.0	0.0
2247	0.0	0.0
2249	0.0	0.0
2252	0.0	0.0
5552	0.0	0.0
2254	0.0	0.0
2242	0.0	0.0
5574	0.0	0.0
5576	0.0	0.0
3608	0.0	0.0
2194	0.0	0.0
2195	0.0	0.0
5597	0.0	0.0
5596	0.0	0.0
5591	0.0	0.0
2199	0.0	0.0
3612	0.0	0.0
2201	0.0	0.0
3611	0.0	0.0
2203	0.0	0.0
2204	0.0	0.0
5589	0.0	0.0
3610	0.0	0.0
2207	0.0	0.0
2208	0.0	0.0
2214	0.0	0.0
2216	0.0	0.0
2218	0.0	0.0
2219	0.0	0.0
1884	0.0	0.0
2378	0.0	0.0
1883	0.0	0.0
4702	0.0	0.0
1560	0.0	0.0
1561	0.0	0.0
4626	0.0	0.0
1565	0.0	0.0
4627	0.0	0.0
1567	0.0	0.0
3805	0.0	0.0
1569	0.0	0.0
1559	0.0	0.0
1572	0.0	0.0
5965	0.0	0.0
5964	0.0	0.0
3803	0.0	0.0
3801	0.0	0.0
1582	0.0	0.0
1584	0.0	0.0
1586	0.0	0.0
5962	0.0	0.0
3804	0.0	0.0
5959	0.0	0.0
1558	0.0	0.0
1555	0.0	0.0
3819	0.0	0.0
3816	0.0	0.0
1534	0.0	0.0
5984	0.0	0.0
3815	0.0	0.0
1538	0.0	0.0
5981	0.0	0.0
5980	0.0	0.0
1556	0.0	0.0
4625	0.0	0.0
3811	0.0	0.0
1545	0.0	0.0
1546	0.0	0.0
1547	0.0	0.0
1550	0.0	0.0
1551	0.0	0.0
1552	0.0	0.0
5977	0.0	0.0
3813	0.0	0.0
1527	0.0	0.0
5956	0.0	0.0
1595	0.0	0.0
5937	0.0	0.0
1627	0.0	0.0
1628	0.0	0.0
3788	0.0	0.0
5935	0.0	0.0
3786	0.0	0.0
1632	0.0	0.0
4634	0.0	0.0
5938	0.0	0.0
4635	0.0	0.0
5927	0.0	0.0
5926	0.0	0.0
3781	0.0	0.0
3779	0.0	0.0
1645	0.0	0.0
1646	0.0	0.0
1647	0.0	0.0
1648	0.0	0.0
3783	0.0	0.0
5955	0.0	0.0
5939	0.0	0.0
1618	0.0	0.0
1597	0.0	0.0
1598	0.0	0.0
4631	0.0	0.0
1600	0.0	0.0
3796	0.0	0.0
1602	0.0	0.0
1603	0.0	0.0
1605	0.0	0.0
5942	0.0	0.0
5949	0.0	0.0
1608	0.0	0.0
1609	0.0	0.0
3793	0.0	0.0
1611	0.0	0.0
1613	0.0	0.0
1614	0.0	0.0
5947	0.0	0.0
1616	0.0	0.0
4632	0.0	0.0
1649	0.0	0.0
6001	0.0	0.0
1524	0.0	0.0
1443	0.0	0.0
6065	0.0	0.0
1445	0.0	0.0
6062	0.0	0.0
1448	0.0	0.0
1449	0.0	0.0
6056	0.0	0.0
6055	0.0	0.0
3839	0.0	0.0
1454	0.0	0.0
1456	0.0	0.0
6054	0.0	0.0
6050	0.0	0.0
6049	0.0	0.0
1463	0.0	0.0
1464	0.0	0.0
1465	0.0	0.0
6047	0.0	0.0
1455	0.0	0.0
6043	0.0	0.0
1440	0.0	0.0
1438	0.0	0.0
1413	0.0	0.0
4612	0.0	0.0
1417	0.0	0.0
1420	0.0	0.0
1421	0.0	0.0
1422	0.0	0.0
3843	0.0	0.0
6084	0.0	0.0
6067	0.0	0.0
3842	0.0	0.0
6082	0.0	0.0
1428	0.0	0.0
6080	0.0	0.0
6073	0.0	0.0
1432	0.0	0.0
6069	0.0	0.0
1436	0.0	0.0
1437	0.0	0.0
6083	0.0	0.0
1525	0.0	0.0
1469	0.0	0.0
3832	0.0	0.0
1501	0.0	0.0
1502	0.0	0.0
6014	0.0	0.0
1505	0.0	0.0
1506	0.0	0.0
6013	0.0	0.0
6011	0.0	0.0
6009	0.0	0.0
3822	0.0	0.0
1510	0.0	0.0
1512	0.0	0.0
1514	0.0	0.0
1515	0.0	0.0
1516	0.0	0.0
1517	0.0	0.0
6006	0.0	0.0
6004	0.0	0.0
1522	0.0	0.0
6007	0.0	0.0
1470	0.0	0.0
6018	0.0	0.0
6020	0.0	0.0
3831	0.0	0.0
3829	0.0	0.0
1474	0.0	0.0
1475	0.0	0.0
6036	0.0	0.0
6031	0.0	0.0
1482	0.0	0.0
1483	0.0	0.0
1497	0.0	0.0
1484	0.0	0.0
3825	0.0	0.0
1489	0.0	0.0
6028	0.0	0.0
6022	0.0	0.0
1492	0.0	0.0
3823	0.0	0.0
6021	0.0	0.0
1495	0.0	0.0
4620	0.0	0.0
5921	0.0	0.0
1652	0.0	0.0
1653	0.0	0.0
4669	0.0	0.0
5820	0.0	0.0
3738	0.0	0.0
1801	0.0	0.0
1802	0.0	0.0
3737	0.0	0.0
4674	0.0	0.0
1805	0.0	0.0
5823	0.0	0.0
5818	0.0	0.0
5815	0.0	0.0
