	Posteriors	FDR
505	0.014873140857392825	0.014873140857392825
3666	0.01537307836520435	0.015123109611298587
4863	0.01549806274215723	0.01524809398825147
1290	0.015873015873015872	0.01540432445944257
2623	0.015873015873015872	0.015498062742157231
3626	0.016122984626921636	0.015602216389617965
4633	0.016247969003874516	0.015694466763083188
5386	0.016247969003874516	0.015763654543182102
2842	0.01674790651168604	0.015873015873015872
3716	0.017497812773403325	0.016035495563054617
6964	0.017622797150356206	0.01617979570735476
113	0.017622797150356206	0.01630004582760488
2238	0.017747781527309086	0.01641141011219751
1436	0.017872765904261966	0.01651579266877354
4003	0.01824771903512061	0.016631254426530014
5763	0.01837270341207349	0.01674009498812648
6506	0.01849768778902637	0.01684348279994412
5470	0.018747656542932135	0.016949270230110124
5687	0.018997625296837895	0.01705707839151685
6545	0.018997625296837895	0.0171541057367829
4437	0.019122609673790775	0.01724784401949756
2320	0.019247594050743656	0.017338741748190566
2170	0.01937257842769654	0.017427169429908216
5158	0.01949756280464942	0.017513435820522432
2108	0.01949756280464942	0.017592800899887514
6606	0.01974753155855518	0.017675675155990115
2998	0.01974753155855518	0.01775241057830734
1342	0.019997500312460944	0.017832592354527114
295	0.019997500312460944	0.017907244353076553
4100	0.020122484689413824	0.01798108569762113
2586	0.020247469066366704	0.018054194838548403
421	0.02062242219722535	0.018134451943507057
719	0.02074740657417823	0.01821363238686073
2588	0.02087239095113111	0.0182918311681628
5477	0.02087239095113111	0.018365561447676183
1198	0.02099737532808399	0.01843866738879862
1135	0.02099737532808399	0.018507821657427957
3551	0.02112235970503687	0.018576625290259767
3430	0.02112235970503687	0.01864190053166431
2188	0.02124734408198975	0.018707036620422446
4061	0.021747281589801274	0.01878118893674876
2715	0.021747281589801274	0.018851810190392868
6119	0.021997250343707038	0.018924959961400176
4123	0.021997250343707038	0.01899478474281624
5426	0.0222472190976128	0.01906706106181172
1680	0.0222472190976128	0.019136194932155223
4975	0.02237220347456568	0.019205046177738425
361	0.02249718785151856	0.019273632462608842
1140	0.022622172228471443	0.019341970008850937
6368	0.022622172228471443	0.019407574053243348
4104	0.022622172228471443	0.019470605390012524
1919	0.022747156605424323	0.0195336159903089
5373	0.022872140982377203	0.019596607027895094
1328	0.022872140982377203	0.019657265064089206
5033	0.022997125359330083	0.01971798979672995
1606	0.022997125359330083	0.019776545788919242
2913	0.023372078490188727	0.019839625309994145
5506	0.023497062867141608	0.019902684578220826
5799	0.023497062867141608	0.01996360624413474
56	0.023497062867141608	0.02002249718785152
412	0.023497062867141608	0.020079457280954633
5068	0.023622047244094488	0.02013659582874721
644	0.023622047244094488	0.020191920454387644
6285	0.023747031621047368	0.0202474690663667
2421	0.02387201599800025	0.02030323132685337
6505	0.023997000374953132	0.020359197524551852
4622	0.023997000374953132	0.020413493089483217
2427	0.023997000374953132	0.020466191726034245
2231	0.023997000374953132	0.02051736286587365
7009	0.024121984751906012	0.020568857464245544
1519	0.024246969128858892	0.020620661853887983
6388	0.024246969128858892	0.020671027232707025
4443	0.024371953505811773	0.020721724852886543
3770	0.024371953505811773	0.020771052267115262
164	0.024371953505811773	0.020819064283631217
1799	0.024496937882764653	0.020867457357304026
3110	0.024496937882764653	0.02091459346802429
1497	0.024621922259717537	0.02096212332432805
257	0.024621922259717537	0.02100844989313045
2912	0.024746906636670417	0.021055180602424697
2543	0.024746906636670417	0.021100757467045015
4457	0.024746906636670417	0.021145222700820934
3682	0.024871891013623297	0.021190122319047464
1004	0.024871891013623297	0.021233952898744794
957	0.024871891013623297	0.021276752170684542
1046	0.024996875390576177	0.02132000941742747
5115	0.024996875390576177	0.021362272244705043
1146	0.025121859767529058	0.02140499483019168
2653	0.02524684414448194	0.02144816167641966
5255	0.02524684414448194	0.02149036925939813
1993	0.02537182852143482	0.02153302265788205
1881	0.025621797275340582	0.02157746586024573
2080	0.025621797275340582	0.02162095329481664
3113	0.025621797275340582	0.021663515464822213
6144	0.025746781652293462	0.021706497214164015
2221	0.025746781652293462	0.02174858351039453
5387	0.025871766029246346	0.02179109054667135
4651	0.025871766029246346	0.02183273009241191
6008	0.025871766029246346	0.021873528435208216
212	0.025996750406199226	0.021914760654918125
5364	0.026121734783152106	0.02195641386410856
2329	0.026121734783152106	0.021997250343707024
567	0.026246719160104987	0.022038507322507003
116	0.026246719160104987	0.02207897089786852
6375	0.026371703537057867	0.0221198540658608
2685	0.026371703537057867	0.02215996585332493
540	0.026496687914010747	0.02220049596604162
4492	0.026496687914010747	0.022240275521115408
2454	0.02662167229096363	0.022280471821756218
167	0.02662167229096363	0.022319937280567196
5252	0.02674665666791651	0.022359817635408185
4941	0.02699662542182227	0.022401217704929737
1843	0.02699662542182227	0.022441885029857993
4618	0.02699662542182227	0.0224818388929454
5641	0.02712160979877515	0.022522184726909134
3764	0.027246594175728035	0.02256291239457137
1706	0.027246594175728035	0.02260294386278638
396	0.027371578552680915	0.02264335602117532
6764	0.027371578552680915	0.022683088983624946
4535	0.027371578552680915	0.022722159730033744
6219	0.027496562929633796	0.02276161760771639
2726	0.027621547306586676	0.02280145309705139
64	0.027621547306586676	0.022840640854852493
961	0.027746531683539556	0.02288020449056771
3539	0.02787151606049244	0.022920134983127106
5478	0.02787151606049244	0.02295943165834429
6118	0.02799650043744532	0.02299909361723485
2918	0.0281214848143982	0.023039112298462686
3515	0.0281214848143982	0.023078510535020323
1027	0.02824646919135108	0.023118264063145943
283	0.02824646919135108	0.023157410667178042
4897	0.02824646919135108	0.02319596414084602
1924	0.028621422322209725	0.02323675705950289
273	0.028621422322209725	0.02327694112862757
2514	0.028746406699162605	0.02331745568840931
5683	0.028746406699162605	0.023357374445841322
6115	0.028746406699162605	0.023396710447690382
1543	0.028746406699162605	0.023435476362556124
2815	0.028871391076115485	0.023474583662653675
3827	0.028871391076115485	0.023513132287035544
5433	0.028996375453068365	0.023552020536440035
3633	0.029121359830021246	0.023591241235690605
253	0.029121359830021246	0.023629913393692917
4303	0.029121359830021246	0.02366804843838964
568	0.029121359830021246	0.02370565748246986
5185	0.029121359830021246	0.023742751334165417
5648	0.02924634420697413	0.023780190741463435
3596	0.02924634420697413	0.023817124210824995
2337	0.02937132858392701	0.023854400750241787
1151	0.02937132858392701	0.023891180269133023
2987	0.02937132858392701	0.023927472642078677
5023	0.02949631296087989	0.023964109749439213
6678	0.02949631296087989	0.02400026794036366
1942	0.02949631296087989	0.024035956544392986
4968	0.02949631296087989	0.024071184650305805
2701	0.02949631296087989	0.024105961113835124
5414	0.02974628171478565	0.024141886722758375
5411	0.02974628171478565	0.024177357577138296
2225	0.029871266091738534	0.024213168322513138
2520	0.029871266091738534	0.024248531433570798
4795	0.029871266091738534	0.02428345525132339
1582	0.029996250468691414	0.024318719419331836
5304	0.029996250468691414	0.02435355089816226
4414	0.030121234845644294	0.024388719702720076
2741	0.030121234845644294	0.024423462218737802
6183	0.030246219222597175	0.02445853906815864
5715	0.030246219222597175	0.02449319583555049
1832	0.030246219222597175	0.02452744002237815
357	0.030246219222597175	0.024561278952556963
942	0.030246219222597175	0.02459471977767485
4794	0.030371203599550055	0.02462850038482032
5795	0.030371203599550055	0.02466188819420828
307	0.03049618797650294	0.024695612470406518
676	0.03062117235345582	0.024729667412263123
5965	0.03062117235345582	0.024763333154784226
3888	0.03062117235345582	0.024796616332049406
1456	0.0307461567304087	0.024830229554639007
2463	0.0307461567304087	0.0248634651005703
927	0.03099612548431446	0.024897725773105183
4553	0.03099612548431446	0.02493160577150079
2539	0.03099612548431446	0.02496511140527324
3461	0.03099612548431446	0.024998248845267974
833	0.031121109861267343	0.025031707102186003
5973	0.031121109861267343	0.025064801682398403
4000	0.031246094238220223	0.025098214074592035
5523	0.031371078615173104	0.0251319391527672
2844	0.031371078615173104	0.025165303534919106
3810	0.031371078615173104	0.02519831297683535
4175	0.031371078615173104	0.02523097311248793
5563	0.031371078615173104	0.025263289457238904
5949	0.031496062992125984	0.025295921779411087
2654	0.031496062992125984	0.025328214181560643
5201	0.031621047369078864	0.025360819534863847
5012	0.031621047369078864	0.02539308875050413
1123	0.031746031746031744	0.02542566794535299
6138	0.031746031746031744	0.025457914699438082
3200	0.031746031746031744	0.025489834075309116
4796	0.031871016122984624	0.025522062267469094
5886	0.031871016122984624	0.025553966558200327
5536	0.031871016122984624	0.025585551806024245
3652	0.031871016122984624	0.025616822772775293
3848	0.03212098487689039	0.02564902159507289
4062	0.03212098487689039	0.02568090318759416
3423	0.03224596925384327	0.02571308488399734
4752	0.03224596925384327	0.025744952612630732
591	0.03237095363079615	0.025777117666116973
3234	0.03237095363079615	0.025808971946139576
557	0.03237095363079615	0.025840519935008115
5587	0.03237095363079615	0.025871766029246335
4211	0.03237095363079615	0.025902714541634664
2952	0.03237095363079615	0.02593336970319467
3510	0.03249593800774903	0.02596432521406521
6259	0.03262092238470191	0.0259955768439743
2928	0.03274590676165479	0.02602712044172047
5421	0.03274590676165479	0.026058370610650396
4228	0.03274590676165479	0.026089331426164302
4760	0.03274590676165479	0.026120006888539833
2599	0.03274590676165479	0.026150400924655037
2942	0.03287089113860767	0.02618108809458176
146	0.03287089113860767	0.026211496290236422
6976	0.03287089113860767	0.02624162929860009
5709	0.03287089113860767	0.026271490838419943
6271	0.03287089113860767	0.02630108456173917
2311	0.032995875515560553	0.026330972021354444
884	0.032995875515560553	0.026360593814662023
3552	0.033120859892513434	0.026390506496422425
2960	0.033245844269466314	0.02642070622229487
6626	0.033370828646419194	0.026451189215383135
2932	0.033370828646419194	0.02648140598145753
4231	0.03349581302337208	0.0265119034033789
2729	0.03349581302337208	0.026542136778357227
4909	0.03362079740032496	0.026572648246555364
6380	0.03374578177727784	0.026603434227373917
1236	0.03387076615423072	0.026634491201420314
3025	0.0339957505311836	0.026665815709206543
4620	0.03412073490813648	0.026697404349879977
4609	0.03412073490813648	0.026728726419746038
4871	0.03412073490813648	0.026759785278940955
5909	0.03412073490813648	0.026790584231364368
3293	0.03437070366204224	0.026822168062325527
2207	0.03437070366204224	0.02685348978680568
