65	65	92	65	65	65	67	92	64	65	92	34	92	65	64	92	89	64	64	65	65	64	64	64	92	64	65	65	65	65	89	65	65	65	65	65	65	92	65	65	92	92	92	65	92	65	65	65	65	65	92	65	65	65	67	92	65	92	64	92	92	65	92	89	92	65	65	64	65	65	65	65	65	92	92	67	89	92	92	92	64	64	92	65	64	65	65	67	92	65	65	65	65	92	65	92	92	64	64	64
65	65	92	64	65	92	65	65	67	92	92	88	92	65	89	34	65	65	92	64	65	65	64	92	92	92	65	64	92	64	64	65	92	92	65	92	65	65	64	88	65	92	92	92	65	65	65	92	92	65	65	65	92	65	64	64	65	92	65	65	64	92	64	64	64	65	92	64	89	67	65	92	65	65	65	92	65	65	65	65	64	92	65	92	92	65	92	92	65	64	92	92	65	65	64	92	65	65	64	65
92	92	92	65	92	65	34	64	88	92	64	64	67	65	64	65	65	92	92	65	64	92	65	65	92	65	64	92	92	65	64	65	92	65	64	92	65	65	65	92	92	88	65	65	89	92	64	65	64	92	64	64	92	65	64	65	65	64	65	64	92	65	88	65	65	65	65	89	92	65	65	65	92	92	64	92	92	65	65	65	92	65	92	65	92	65	92	65	92	65	92	92	65	88	92	65	65	92	65	65
64	65	92	65	88	65	92	92	67	64	65	64	89	34	92	92	92	92	65	65	64	92	92	65	88	65	65	64	92	92	92	65	65	64	88	65	65	64	92	64	65	92	89	92	65	92	65	65	64	65	92	92	65	64	65	92	64	65	92	92	65	65	65	65	65	92	92	92	92	92	92	65	64	92	64	67	65	65	65	65	46	65	92	64	65	92	65	92	64	65	92	64	34	65	65	92	65	65	65	92
89	92	64	88	65	92	64	65	92	65	67	92	65	65	65	92	65	92	92	34	65	92	92	92	92	65	92	64	92	65	65	64	92	92	92	64	65	65	64	92	65	64	92	65	92	65	65	65	65	65	92	92	65	89	65	88	64	92	65	65	64	65	64	65	92	92	65	92	64	64	64	65	65	92	65	92	92	92	65	65	92	89	65	89	92	67	65	65	67	65	65	65	65	92	65	65	64	65	92	92
65	65	92	64	64	34	67	92	89	65	64	92	65	65	64	46	65	92	67	64	65	92	65	65	65	67	92	92	89	65	92	64	65	65	65	64	92	64	65	92	92	92	92	64	92	92	89	65	67	92	92	92	64	64	65	64	92	65	92	65	92	92	88	65	92	64	92	92	67	64	65	92	92	89	88	64	64	65	67	92	65	89	92	65	92	65	64	92	64	67	92	92	92	92	92	65	65	89	92	92
65	67	92	65	46	92	64	92	34	65	65	65	67	88	46	92	89	65	92	65	92	92	92	65	65	89	92	92	92	92	65	89	65	67	65	65	64	65	92	92	92	64	92	64	64	92	64	67	65	65	65	65	64	92	92	65	65	92	65	65	65	65	65	65	64	65	65	65	92	92	65	65	65	92	92	2	64	65	92	65	65	64	92	92	92	65	89	65	65	65	65	65	92	92	92	65	92	89	65	65
64	67	65	65	65	65	92	65	64	92	92	89	65	92	34	92	92	65	92	92	92	65	65	64	64	92	64	92	92	92	92	65	92	88	65	92	65	89	65	92	65	65	65	65	64	92	64	65	64	65	65	65	92	92	65	92	92	64	92	92	65	92	92	53	64	92	92	92	65	92	67	92	92	65	92	65	92	65	65	92	65	64	92	34	92	65	92	65	65	92	65	65	92	65	92	88	65	65	65	67
92	92	65	92	34	92	92	89	64	65	65	92	92	67	65	92	92	92	65	64	64	92	65	92	92	89	92	92	65	64	65	64	46	65	92	92	89	65	65	64	64	65	65	92	65	64	64	64	92	64	65	64	92	65	64	92	65	65	67	92	64	92	65	92	64	65	92	92	65	92	92	92	88	92	65	65	92	92	65	92	65	65	89	64	65	92	92	65	64	92	65	65	65	65	92	65	92	65	65	65
64	64	92	67	64	89	65	65	65	65	65	92	92	92	34	2	65	65	92	65	65	92	67	92	65	92	92	92	65	64	65	65	65	65	65	65	92	65	65	65	65	65	65	65	89	65	67	65	92	65	92	65	65	65	65	92	88	65	65	65	65	65	92	92	65	92	67	65	92	92	92	65	64	34	64	92	64	92	64	65	65	92	65	65	64	65	64	65	65	88	64	92	65	65	92	92	67	65	65	65
