	pval	padj
75	0.12097669256381798	0.12097669256381798
820	0.12652608213096558	0.12375138734739177
5889	0.12874583795782463	0.12541620421753605
6431	0.12874583795782463	0.1262486126526082
1568	0.1320754716981132	0.1274139844617092
2674	0.13318534961154274	0.12837587865334812
6710	0.13318534961154274	0.1290629459330902
1636	0.13318534961154274	0.12957824639289678
6866	0.13429522752497225	0.13010235540757184
3988	0.13429522752497225	0.13052164261931187
4922	0.13540510543840178	0.13096559378468367
1491	0.13762486126526083	0.13152053274139844
6925	0.13984461709211987	0.13216084692222319
5801	0.14206437291897892	0.13286824163627717
6186	0.1453940066592675	0.13370329263780983
6328	0.14983351831298558	0.13471143174250833
5786	0.1509433962264151	0.13566625318273814
163	0.1509433962264151	0.1365149833518313
4739	0.15205327413984462	0.1373327881301478
3055	0.15316315205327413	0.1381243063263041
5114	0.1564927857935627	0.13899899582474498
4892	0.1609322974472808	0.1399959640803148
6343	0.16981132075471697	0.1412922839357236
1029	0.19755826859045506	0.14363669996300407
565	0.20421753607103219	0.1460599334073252
6862	0.22308546059933407	0.14902245368394093
1410	0.22641509433962265	0.15188884778229952
3361	0.23085460599334073	0.15470905343269384
5872	0.23196448390677027	0.15737303379386888
602	0.23307436182019978	0.15989641139474658
2397	0.23751387347391786	0.1624002004940747
2822	0.23751387347391786	0.1647475027746948
4948	0.2386237513873474	0.16698617697507823
3373	0.2397336293007769	0.16912580792583407
972	0.2397336293007769	0.17114317425083242
3736	0.24084350721420644	0.17307929461092617
611	0.24195338512763595	0.17494075651678317
1853	0.244173140954495	0.1767626613704072
4610	0.244173140954495	0.17849113520589663
2732	0.24528301886792453	0.1801609322974473
3766	0.24528301886792453	0.18174927587233702
2273	0.24528301886792453	0.18326198403889862
1431	0.24750277469478357	0.18475595591461688
1724	0.24750277469478357	0.18618201997780248
899	0.25083240843507215	0.1876186952768529
6802	0.25083240843507215	0.18899290643246633
594	0.2519422863485017	0.19033225494131817
2950	0.2519422863485017	0.19161579726230116
4115	0.2519422863485017	0.19284695010079506
5827	0.25305216426193117	0.19405105438401776
825	0.2541620421753607	0.19522970120345587
170	0.25527192008879024	0.19638435925894304
79	0.25527192008879024	0.19749544531233637
3871	0.2597114317425083	0.1986475932091914
6689	0.2630410654827969	0.19981838361416607
5925	0.2630410654827969	0.2009473600761059
3495	0.26526082130965595	0.2020756664135366
3442	0.26526082130965595	0.2031650656358835
6574	0.26526082130965595	0.20421753607103219
2594	0.2663706992230855	0.2052534221235664
3854	0.27192008879023305	0.2063463182984298
6332	0.2741398446170921	0.20743976227131147
4542	0.27524972253052166	0.20851611084685448
6924	0.27524972253052166	0.20955882352941177
5754	0.2763596004439512	0.21058652778963546
3038	0.2763596004439512	0.21158308949651905
1424	0.27746947835738067	0.21256646843474086
1621	0.27746947835738067	0.21352092446301496
6997	0.27746947835738067	0.2144477150991652
2032	0.2785793562708102	0.21536388140161727
3604	0.27968923418423974	0.21626987228587954
4972	0.27968923418423974	0.2171506967566901
1530	0.27968923418423974	0.2180073890502182
4879	0.27968923418423974	0.2188409274979752
